"Activity 
2_DC Rollover IRA *4915 
as of 02/04/2026 at 11:21:41 AM"

Date,Description,Symbol,Quantity,Price,Amount,Cash Balance,Commission,Fees,Account,Settlement Date,Type
Aug-19-2025,YOU SOLD,LRN,-91,161.78,"14,721.99","+342,108.42",--,--,2_DC Rollover IRA *4915,Aug-20-2025,Cash
Aug-19-2025,YOU SOLD,ORCL,-81,243.00,"19,683.00","+327,386.43",--,--,2_DC Rollover IRA *4915,Aug-20-2025,Cash
Aug-19-2025,YOU SOLD,NVDA,-30,178.61,"5,358.32","+307,703.43",--,--,2_DC Rollover IRA *4915,Aug-20-2025,Cash
Aug-19-2025,YOU SOLD,SPOT,-20,729.30,"14,586.00","+302,345.11",--,--,2_DC Rollover IRA *4915,Aug-20-2025,Cash
Aug-18-2025,YOU SOLD,META,-20,758.72,"15,174.43","+287,759.11",--,--,2_DC Rollover IRA *4915,Aug-19-2025,Cash
Aug-18-2025,YOU SOLD,AMZN,-129,229.47,"29,601.24","+272,584.68",--,--,2_DC Rollover IRA *4915,Aug-19-2025,Cash
Aug-18-2025,YOU SOLD,SPOT,-20,726.99,"14,539.72","+242,983.44",--,--,2_DC Rollover IRA *4915,Aug-19-2025,Cash
Aug-15-2025,YOU SOLD,Z,-236,85.00,"20,058.82","+228,443.72",--,--,2_DC Rollover IRA *4915,Aug-18-2025,Cash
Aug-15-2025,YOU SOLD,GS,-30,733.07,"21,992.10","+208,384.90",--,--,2_DC Rollover IRA *4915,Aug-18-2025,Cash
Aug-15-2025,YOU BOUGHT,SPOT,11,729.85,"-8,028.30","+186,392.80",--,--,2_DC Rollover IRA *4915,Aug-18-2025,Cash
Aug-14-2025,YOU SOLD,SHOP,-100,144.94,"14,493.60","+194,421.10",--,--,2_DC Rollover IRA *4915,Aug-15-2025,Cash
Aug-14-2025,YOU BOUGHT,ORCL,81,246.35,"-19,954.03","+179,927.50",--,--,2_DC Rollover IRA *4915,Aug-15-2025,Cash
Aug-14-2025,YOU SOLD,LVS,-8,53.84,430.71,"+199,881.53",--,--,2_DC Rollover IRA *4915,Aug-15-2025,Cash
Aug-14-2025,YOU SOLD,LVS,-292,53.64,"15,662.88","+199,450.82",--,--,2_DC Rollover IRA *4915,Aug-15-2025,Cash
Aug-14-2025,YOU SOLD,CCL,-655,29.87,"19,567.14","+183,787.94",--,--,2_DC Rollover IRA *4915,Aug-15-2025,Cash
Aug-14-2025,YOU BOUGHT,ALV,168,119.00,"-19,991.80","+164,220.80",--,--,2_DC Rollover IRA *4915,Aug-15-2025,Cash
Aug-14-2025,YOU BOUGHT,AMZN,129,231.36,"-29,845.43","+184,212.60",--,--,2_DC Rollover IRA *4915,Aug-15-2025,Cash
Aug-14-2025,YOU SOLD,AMD,-100,180.18,"18,017.95","+214,058.03",--,--,2_DC Rollover IRA *4915,Aug-15-2025,Cash
Aug-14-2025,YOU BOUGHT,SPOT,29,704.89,"-20,441.89","+196,040.08",--,--,2_DC Rollover IRA *4915,Aug-15-2025,Cash
Aug-13-2025,YOU BOUGHT,Z,236,84.90,"-20,036.40","+216,481.97",--,--,2_DC Rollover IRA *4915,Aug-14-2025,Cash
Aug-13-2025,YOU SOLD,HOOD,-50,111.86,"5,592.75","+236,518.37",--,--,2_DC Rollover IRA *4915,Aug-14-2025,Cash
Aug-13-2025,YOU SOLD,ORCL,-55,245.06,"13,478.36","+230,925.62",--,--,2_DC Rollover IRA *4915,Aug-14-2025,Cash
Aug-13-2025,YOU SOLD,MEDP,-45,465.27,"20,937.15","+217,447.26",--,--,2_DC Rollover IRA *4915,Aug-14-2025,Cash
Aug-13-2025,YOU SOLD,JPM,-20,292.18,"5,843.50","+196,510.11",--,--,2_DC Rollover IRA *4915,Aug-14-2025,Cash
Aug-13-2025,YOU SOLD,JPM,-20,292.49,"5,849.70","+190,666.61",--,--,2_DC Rollover IRA *4915,Aug-14-2025,Cash
Aug-13-2025,YOU SOLD,ITA,-100,198.21,"19,820.50","+184,816.91",--,--,2_DC Rollover IRA *4915,Aug-14-2025,Cash
Aug-13-2025,YOU SOLD,IBKR,-200,65.60,"13,120.00","+164,996.41",--,--,2_DC Rollover IRA *4915,Aug-14-2025,Cash
Aug-13-2025,YOU BOUGHT,INCY,119,84.20,"-10,019.80","+151,876.41",--,--,2_DC Rollover IRA *4915,Aug-14-2025,Cash
Aug-13-2025,YOU BOUGHT,GS,20,744.96,"-14,899.20","+161,896.21",--,--,2_DC Rollover IRA *4915,Aug-14-2025,Cash
Aug-13-2025,YOU SOLD,GS,-10,739.52,"7,395.20","+176,795.41",--,--,2_DC Rollover IRA *4915,Aug-14-2025,Cash
Aug-13-2025,YOU SOLD,FIX,-20,693.30,"13,866.00","+169,400.21",--,--,2_DC Rollover IRA *4915,Aug-14-2025,Cash
Aug-13-2025,YOU BOUGHT,CCL,555,30.53,"-16,944.09","+155,534.21",--,--,2_DC Rollover IRA *4915,Aug-14-2025,Cash
Aug-13-2025,YOU BOUGHT,CCL,100,30.52,"-3,052.50","+172,478.30",--,--,2_DC Rollover IRA *4915,Aug-14-2025,Cash
Aug-13-2025,YOU SOLD,AVGO,-50,309.37,"15,468.71","+175,530.80",--,--,2_DC Rollover IRA *4915,Aug-14-2025,Cash
Aug-13-2025,YOU SOLD,ANET,-5,141.56,707.79,"+160,062.09",--,--,2_DC Rollover IRA *4915,Aug-14-2025,Cash
Aug-13-2025,YOU SOLD,APP,-15,456.36,"6,845.45","+159,354.30",--,--,2_DC Rollover IRA *4915,Aug-14-2025,Cash
Aug-12-2025,YOU SOLD,GDX,-108,57.73,"6,234.84","+152,508.85",--,--,2_DC Rollover IRA *4915,Aug-13-2025,Cash
Aug-12-2025,YOU BOUGHT,SHOP,100,149.35,"-14,935.00","+146,274.01",--,--,2_DC Rollover IRA *4915,Aug-13-2025,Cash
Aug-12-2025,YOU SOLD,HOOD,-50,115.00,"5,750.00","+161,209.01",--,--,2_DC Rollover IRA *4915,Aug-13-2025,Cash
Aug-12-2025,YOU BOUGHT,ORCL,50,255.88,"-12,794.04","+155,459.01",--,--,2_DC Rollover IRA *4915,Aug-13-2025,Cash
Aug-12-2025,YOU SOLD,ORLY,-100,102.44,"10,243.95","+168,253.05",--,--,2_DC Rollover IRA *4915,Aug-13-2025,Cash
Aug-12-2025,YOU BOUGHT,LVS,300,54.19,"-16,257.00","+158,009.10",--,--,2_DC Rollover IRA *4915,Aug-13-2025,Cash
Aug-12-2025,YOU BOUGHT,GS,20,735.60,"-14,711.90","+174,266.10",--,--,2_DC Rollover IRA *4915,Aug-13-2025,Cash
Aug-12-2025,YOU BOUGHT,FIX,20,700.00,"-14,000.00","+188,978.00",--,--,2_DC Rollover IRA *4915,Aug-13-2025,Cash
Aug-11-2025,YOU SOLD,WMT,-100,103.36,"10,336.50","+202,978.00",--,--,2_DC Rollover IRA *4915,Aug-12-2025,Cash
Aug-11-2025,YOU SOLD,ORCL,-3,252.88,758.65,"+192,641.50",--,--,2_DC Rollover IRA *4915,Aug-12-2025,Cash
Aug-11-2025,YOU SOLD,NVDA,-20,182.47,"3,649.40","+191,882.85",--,--,2_DC Rollover IRA *4915,Aug-12-2025,Cash
Aug-11-2025,YOU BOUGHT,MEDP,45,446.33,"-20,085.08","+188,233.45",--,--,2_DC Rollover IRA *4915,Aug-12-2025,Cash
Aug-11-2025,YOU SOLD,META,-15,768.81,"11,532.16","+208,318.53",--,--,2_DC Rollover IRA *4915,Aug-12-2025,Cash
Aug-8-2025,YOU BOUGHT,IBKR,200,65.62,"-13,124.20","+196,786.37",--,--,2_DC Rollover IRA *4915,Aug-11-2025,Cash
Aug-8-2025,YOU BOUGHT,AMD,100,174.77,"-17,477.00","+209,910.57",--,--,2_DC Rollover IRA *4915,Aug-11-2025,Cash
Aug-8-2025,YOU SOLD,AS,-250,36.92,"9,230.03","+227,387.57",--,--,2_DC Rollover IRA *4915,Aug-11-2025,Cash
Aug-7-2025,YOU SOLD,ORCL,-8,246.95,"1,975.63","+218,157.54",--,--,2_DC Rollover IRA *4915,Aug-8-2025,Cash
Aug-7-2025,YOU SOLD,ITA,-100,196.54,"19,653.70","+216,181.91",--,--,2_DC Rollover IRA *4915,Aug-8-2025,Cash
Aug-7-2025,YOU BOUGHT,APP,25,445.15,"-11,128.75","+196,528.21",--,--,2_DC Rollover IRA *4915,Aug-8-2025,Cash
Aug-7-2025,YOU SOLD,APP,-10,432.89,"4,328.90","+207,656.96",--,--,2_DC Rollover IRA *4915,Aug-8-2025,Cash
Aug-6-2025,YOU BOUGHT,WMT,100,103.11,"-10,311.50","+203,328.06",--,--,2_DC Rollover IRA *4915,Aug-7-2025,Cash
Aug-6-2025,YOU SOLD,GDX,-42,57.10,"2,398.20","+213,639.56",--,--,2_DC Rollover IRA *4915,Aug-7-2025,Cash
Aug-6-2025,YOU SOLD,GDX,-50,56.94,"2,847.00","+211,241.36",--,--,2_DC Rollover IRA *4915,Aug-7-2025,Cash
Aug-6-2025,YOU BOUGHT,HOOD,100,105.57,"-10,556.84","+208,394.36",--,--,2_DC Rollover IRA *4915,Aug-7-2025,Cash
Aug-6-2025,YOU BOUGHT,AVGO,50,301.99,"-15,099.25","+218,951.20",--,--,2_DC Rollover IRA *4915,Aug-7-2025,Cash
Aug-6-2025,YOU SOLD,ANET,-5,137.50,687.50,"+234,050.45",--,--,2_DC Rollover IRA *4915,Aug-7-2025,Cash
Aug-6-2025,YOU SOLD,ANET,-15,136.07,"2,041.06","+233,362.95",--,--,2_DC Rollover IRA *4915,Aug-7-2025,Cash
Aug-5-2025,YOU SOLD,JPM,-100,291.00,"29,100.00","+231,321.89",--,--,2_DC Rollover IRA *4915,Aug-6-2025,Cash
Aug-5-2025,YOU SOLD,DIS,-100,117.91,"11,790.50","+202,221.89",--,--,2_DC Rollover IRA *4915,Aug-6-2025,Cash
Aug-5-2025,YOU SOLD,ANET,-75,119.22,"8,941.22","+190,431.39",--,--,2_DC Rollover IRA *4915,Aug-6-2025,Cash
Aug-4-2025,YOU BOUGHT,GDX,200,54.57,"-10,914.70","+181,490.17",--,--,2_DC Rollover IRA *4915,Aug-5-2025,Cash
Aug-4-2025,YOU BOUGHT,ORLY,100,100.88,"-10,088.00","+192,404.87",--,--,2_DC Rollover IRA *4915,Aug-5-2025,Cash
Aug-4-2025,YOU BOUGHT,ITA,100,198.11,"-19,810.80","+202,492.87",--,--,2_DC Rollover IRA *4915,Aug-5-2025,Cash
Aug-4-2025,YOU BOUGHT,META,20,771.78,"-15,435.52","+222,303.67",--,--,2_DC Rollover IRA *4915,Aug-5-2025,Cash
Aug-4-2025,YOU BOUGHT,META,15,763.14,"-11,447.10","+237,739.19",--,--,2_DC Rollover IRA *4915,Aug-5-2025,Cash
Aug-4-2025,TRANSFERRED FROM VS EZY-080690 ACATS IN-HOUSE,,--,--,0.01,"+249,186.29",--,--,2_DC Rollover IRA *4915,--,Cash
Aug-1-2025,YOU SOLD,TOST,-150,46.38,"6,957.75","+249,186.28",--,--,2_DC Rollover IRA *4915,Aug-4-2025,Cash
Aug-1-2025,YOU SOLD,TOST,-150,46.42,"6,963.00","+242,228.53",--,--,2_DC Rollover IRA *4915,Aug-4-2025,Cash
Aug-1-2025,YOU SOLD,ORCL,-10,244.83,"2,448.30","+235,265.53",--,--,2_DC Rollover IRA *4915,Aug-4-2025,Cash
Aug-1-2025,YOU SOLD,NVDA,-50,171.94,"8,596.75","+232,817.23",--,--,2_DC Rollover IRA *4915,Aug-4-2025,Cash
Aug-1-2025,YOU SOLD,JBL,-60,214.38,"12,862.50","+224,220.48",--,--,2_DC Rollover IRA *4915,Aug-4-2025,Cash
Aug-1-2025,YOU BOUGHT,JPM,70,289.34,"-20,253.70","+211,357.98",--,--,2_DC Rollover IRA *4915,Aug-4-2025,Cash
Aug-1-2025,YOU SOLD,GS,-15,713.01,"10,695.15","+231,611.68",--,--,2_DC Rollover IRA *4915,Aug-4-2025,Cash
Aug-1-2025,YOU SOLD,GS,-25,698.63,"17,465.82","+220,916.53",--,--,2_DC Rollover IRA *4915,Aug-4-2025,Cash
Aug-1-2025,YOU SOLD,AVGO,-70,283.32,"19,832.40","+203,450.71",--,--,2_DC Rollover IRA *4915,Aug-4-2025,Cash
Aug-1-2025,YOU SOLD,AVGO,-100,287.18,"28,718.00","+183,618.31",--,--,2_DC Rollover IRA *4915,Aug-4-2025,Cash
Aug-1-2025,YOU SOLD,ANET,-45,116.92,"5,261.40","+154,900.31",--,--,2_DC Rollover IRA *4915,Aug-4-2025,Cash
Aug-1-2025,YOU SOLD,AS,-200,36.50,"7,300.00","+149,638.91",--,--,2_DC Rollover IRA *4915,Aug-4-2025,Cash
Jul-31-2025,DIVIDEND RECEIVED,JPM,--,--,42.00,"+142,338.91",--,--,2_DC Rollover IRA *4915,--,Cash
Jul-31-2025,REINVESTMENT REINVEST @ $1.000,FDRXX,339.43,1.00,-339.43,"+142,296.91",--,--,2_DC Rollover IRA *4915,--,Cash
Jul-31-2025,DIVIDEND RECEIVED,FDRXX,--,--,339.43,"+142,296.91",--,--,2_DC Rollover IRA *4915,--,Cash
Jul-29-2025,YOU BOUGHT,JBL,60,232.55,"-13,953.24","+141,957.48",--,--,2_DC Rollover IRA *4915,Jul-30-2025,Cash
Jul-29-2025,YOU SOLD,EXEL,-100,36.95,"3,695.00","+155,910.72",--,--,2_DC Rollover IRA *4915,Jul-30-2025,Cash
Jul-28-2025,YOU SOLD,AVGO,-55,294.98,"16,223.90","+152,215.72",--,--,2_DC Rollover IRA *4915,Jul-29-2025,Cash
Jul-28-2025,YOU SOLD,ANET,-55,117.20,"6,445.74","+135,991.82",--,--,2_DC Rollover IRA *4915,Jul-29-2025,Cash
Jul-25-2025,FEE CHARGED,SMFG,--,--,-2.56,"+129,546.08",--,--,2_DC Rollover IRA *4915,--,Cash
Jul-25-2025,FOREIGN TAX PAID,SMFG,--,--,-19.17,"+129,548.64",--,--,2_DC Rollover IRA *4915,--,Cash
Jul-25-2025,DIVIDEND RECEIVED,SMFG,--,--,125.17,"+129,567.81",--,--,2_DC Rollover IRA *4915,--,Cash
Jul-25-2025,YOU SOLD,AIR,-150,76.63,"11,494.50","+129,442.64",--,--,2_DC Rollover IRA *4915,Jul-28-2025,Cash
Jul-24-2025,DIVIDEND RECEIVED,ORCL,--,--,34.00,"+117,948.14",--,--,2_DC Rollover IRA *4915,--,Cash
Jul-24-2025,YOU BOUGHT,URBN,200,74.50,"-14,899.88","+117,914.14",--,--,2_DC Rollover IRA *4915,Jul-25-2025,Cash
Jul-24-2025,YOU SOLD,URBN,-200,73.91,"14,782.00","+132,814.02",--,--,2_DC Rollover IRA *4915,Jul-25-2025,Cash
Jul-24-2025,YOU BOUGHT,GS,10,725.03,"-7,250.34","+118,032.02",--,--,2_DC Rollover IRA *4915,Jul-25-2025,Cash
Jul-24-2025,YOU BOUGHT,AVAV,50,275.75,"-13,787.50","+125,282.36",--,--,2_DC Rollover IRA *4915,Jul-25-2025,Cash
Jul-24-2025,YOU SOLD,AVAV,-50,271.85,"13,592.50","+139,069.86",--,--,2_DC Rollover IRA *4915,Jul-25-2025,Cash
Jul-22-2025,YOU SOLD,NLR,-400,114.06,"45,624.00","+125,477.36",--,--,2_DC Rollover IRA *4915,Jul-23-2025,Cash
Jul-22-2025,YOU BOUGHT,NVDA,100,167.49,"-16,749.00","+79,853.36",--,--,2_DC Rollover IRA *4915,Jul-23-2025,Cash
Jul-22-2025,YOU BOUGHT,AVGO,50,279.14,"-13,957.10","+96,602.36",--,--,2_DC Rollover IRA *4915,Jul-23-2025,Cash
Jul-21-2025,YOU SOLD,SE,-5,156.43,782.15,"+110,559.46",--,--,2_DC Rollover IRA *4915,Jul-22-2025,Cash
Jul-21-2025,YOU SOLD,SE,-26,156.40,"4,066.40","+109,777.31",--,--,2_DC Rollover IRA *4915,Jul-22-2025,Cash
Jul-21-2025,YOU SOLD,SE,-69,156.37,"10,789.53","+105,710.91",--,--,2_DC Rollover IRA *4915,Jul-22-2025,Cash
Jul-18-2025,YOU SOLD,NLR,-100,117.30,"11,730.01","+94,921.38",--,--,2_DC Rollover IRA *4915,Jul-21-2025,Cash
Jul-18-2025,TRANSFERRED FROM VS EZY-080690 ACATS IN-HOUSE,,--,--,46.94,"+83,191.37",--,--,2_DC Rollover IRA *4915,--,Cash
Jul-17-2025,YOU BOUGHT,SE,100,166.36,"-16,636.00","+83,144.43",--,--,2_DC Rollover IRA *4915,Jul-18-2025,Cash
Jul-17-2025,YOU SOLD 25198IKQNY,ORCL,-12,250.11,"3,001.29","+99,780.43",--,--,2_DC Rollover IRA *4915,Jul-18-2025,Cash
Jul-17-2025,YOU SOLD,JPM,-20,289.81,"5,796.20","+96,779.14",--,--,2_DC Rollover IRA *4915,Jul-18-2025,Cash
Jul-17-2025,YOU BOUGHT,GS,18,712.50,"-12,824.98","+90,982.94",--,--,2_DC Rollover IRA *4915,Jul-18-2025,Cash
Jul-17-2025,YOU BOUGHT,GS,10,708.66,"-7,086.60","+103,807.92",--,--,2_DC Rollover IRA *4915,Jul-18-2025,Cash
Jul-17-2025,YOU SOLD,EXEL,-50,45.18,"2,258.85","+110,894.52",--,--,2_DC Rollover IRA *4915,Jul-18-2025,Cash
Jul-17-2025,YOU BOUGHT,DIS,100,121.86,"-12,185.50","+108,635.67",--,--,2_DC Rollover IRA *4915,Jul-18-2025,Cash
Jul-17-2025,YOU SOLD,DFREX,-405.932,40.90,"16,602.62","+120,821.17",--,--,2_DC Rollover IRA *4915,Jul-18-2025,Cash
Jul-17-2025,YOU SOLD,DFTEX,"-3,721.164",9.68,"36,020.87","+104,218.55",--,--,2_DC Rollover IRA *4915,Jul-18-2025,Cash
Jul-17-2025,YOU SOLD,DFAPX,"-1,134.337",10.04,"11,388.74","+68,197.68",--,--,2_DC Rollover IRA *4915,Jul-18-2025,Cash
Jul-17-2025,YOU SOLD,CTVA,-100,72.78,"7,278.50","+56,808.94",--,--,2_DC Rollover IRA *4915,Jul-18-2025,Cash
Jul-17-2025,YOU SOLD,AVGO,-75,287.76,"21,581.85","+49,530.44",--,--,2_DC Rollover IRA *4915,Jul-18-2025,Cash
Jul-17-2025,YOU BOUGHT,ANET,100,111.66,"-11,165.50","+27,948.59",--,--,2_DC Rollover IRA *4915,Jul-18-2025,Cash
Jul-17-2025,YOU BOUGHT,ANET,100,111.67,"-11,166.90","+39,114.09",--,--,2_DC Rollover IRA *4915,Jul-18-2025,Cash
Jul-17-2025,YOU BOUGHT,AIR,150,83.98,"-12,597.00","+50,280.99",--,--,2_DC Rollover IRA *4915,Jul-18-2025,Cash
Jul-16-2025,YOU BOUGHT,NLR,100,113.48,"-11,348.00","+62,877.99",--,--,2_DC Rollover IRA *4915,Jul-17-2025,Cash
Jul-16-2025,YOU BOUGHT,JPM,30,284.15,"-8,524.50","+74,225.99",--,--,2_DC Rollover IRA *4915,Jul-17-2025,Cash
Jul-16-2025,YOU BOUGHT,EXEL,150,44.72,"-6,708.00","+82,750.49",--,--,2_DC Rollover IRA *4915,Jul-17-2025,Cash
Jul-16-2025,YOU BOUGHT,AVGO,50,277.01,"-13,850.75","+89,458.49",--,--,2_DC Rollover IRA *4915,Jul-17-2025,Cash
Jul-16-2025,YOU BOUGHT,AS,150,39.06,"-5,858.90","+103,309.24",--,--,2_DC Rollover IRA *4915,Jul-17-2025,Cash
Jul-15-2025,YOU SOLD,NLR,-200,110.57,"22,113.92","+109,168.14",--,--,2_DC Rollover IRA *4915,Jul-16-2025,Cash
Jul-15-2025,YOU BOUGHT,TOST,300,45.20,"-13,560.00","+87,054.22",--,--,2_DC Rollover IRA *4915,Jul-16-2025,Cash
Jul-15-2025,YOU BOUGHT,JPM,30,287.76,"-8,632.80","+100,614.22",--,--,2_DC Rollover IRA *4915,Jul-16-2025,Cash
Jul-15-2025,YOU SOLD,BKNG,-3,"5,636.74","16,910.22","+109,247.02",--,--,2_DC Rollover IRA *4915,Jul-16-2025,Cash
Jul-14-2025,YOU BOUGHT,NLR,300,110.69,"-33,206.16","+92,336.80",--,--,2_DC Rollover IRA *4915,Jul-15-2025,Cash
Jul-14-2025,YOU BOUGHT,NLR,150,109.20,"-16,380.00","+125,542.96",--,--,2_DC Rollover IRA *4915,Jul-15-2025,Cash
Jul-14-2025,YOU SOLD,SHOP,-50,113.74,"5,687.00","+141,922.96",--,--,2_DC Rollover IRA *4915,Jul-15-2025,Cash
Jul-14-2025,YOU SOLD,ORCL,-30,226.74,"6,802.20","+136,235.96",--,--,2_DC Rollover IRA *4915,Jul-15-2025,Cash
Jul-14-2025,YOU BOUGHT,ITA,100,192.99,"-19,298.56","+129,433.76",--,--,2_DC Rollover IRA *4915,Jul-15-2025,Cash
Jul-14-2025,YOU SOLD,AMZN,-75,225.48,"16,911.00","+148,732.32",--,--,2_DC Rollover IRA *4915,Jul-15-2025,Cash
Jul-14-2025,YOU BOUGHT,AS,300,39.31,"-11,793.00","+131,821.32",--,--,2_DC Rollover IRA *4915,Jul-15-2025,Cash
Jul-11-2025,YOU BOUGHT,NLR,150,107.69,"-16,153.02","+143,614.32",--,--,2_DC Rollover IRA *4915,Jul-14-2025,Cash
Jul-11-2025,YOU SOLD,SHOP,-50,112.11,"5,605.50","+159,767.34",--,--,2_DC Rollover IRA *4915,Jul-14-2025,Cash
Jul-10-2025,YOU SOLD,NFLX,-5,"1,261.00","6,305.00","+154,161.84",--,--,2_DC Rollover IRA *4915,Jul-11-2025,Cash
Jul-10-2025,YOU BOUGHT,CIBR,200,74.30,"-14,859.98","+147,856.84",--,--,2_DC Rollover IRA *4915,Jul-11-2025,Cash
Jul-10-2025,YOU SOLD,CIBR,"-1,000",73.99,"73,986.90","+162,716.82",--,--,2_DC Rollover IRA *4915,Jul-11-2025,Cash
Jul-9-2025,YOU SOLD,NOW,-12,"1,018.39","12,220.69","+88,729.92",--,--,2_DC Rollover IRA *4915,Jul-10-2025,Cash
Jul-9-2025,YOU SOLD,AVGO,-100,276.28,"27,628.09","+76,509.23",--,--,2_DC Rollover IRA *4915,Jul-10-2025,Cash
Jul-7-2025,TRANSFERRED FROM VS EZY-080690 ACATS IN-HOUSE,DFIVX,13.454,--,--,"+48,881.14",--,--,2_DC Rollover IRA *4915,--,Cash
Jul-7-2025,TRANSFERRED FROM VS EZY-080690 ACATS IN-HOUSE,DFREX,0.355,--,--,"+48,881.14",--,--,2_DC Rollover IRA *4915,--,Cash
Jul-7-2025,TRANSFERRED FROM VS EZY-080690 ACATS IN-HOUSE,DFLVX,3.634,--,--,"+48,881.14",--,--,2_DC Rollover IRA *4915,--,Cash
Jul-7-2025,TRANSFERRED FROM VS EZY-080690 ACATS IN-HOUSE,DFISX,8.844,--,--,"+48,881.14",--,--,2_DC Rollover IRA *4915,--,Cash
Jul-7-2025,TRANSFERRED FROM VS EZY-080690 ACATS IN-HOUSE,DFFVX,3.863,--,--,"+48,881.14",--,--,2_DC Rollover IRA *4915,--,Cash
Jul-7-2025,TRANSFERRED FROM VS EZY-080690 ACATS IN-HOUSE,DFCEX,5.769,--,--,"+48,881.14",--,--,2_DC Rollover IRA *4915,--,Cash
Jul-7-2025,TRANSFERRED FROM VS EZY-080690 ACATS IN-HOUSE,DFTEX,15.761,--,--,"+48,881.14",--,--,2_DC Rollover IRA *4915,--,Cash
Jul-7-2025,TRANSFERRED FROM VS EZY-080690 ACATS IN-HOUSE,DFAPX,9.369,--,--,"+48,881.14",--,--,2_DC Rollover IRA *4915,--,Cash
Jul-7-2025,TRANSFERRED FROM VS EZY-080690 ACATS IN-HOUSE,DUSLX,2.614,--,--,"+48,881.14",--,--,2_DC Rollover IRA *4915,--,Cash
Jul-7-2025,TRANSFERRED FROM VS EZY-080690 ACATS IN-HOUSE,DSCGX,1.536,--,--,"+48,881.14",--,--,2_DC Rollover IRA *4915,--,Cash
Jul-7-2025,TRANSFERRED FROM VS EZY-080690 ACATS IN-HOUSE,DILRX,7.063,--,--,"+48,881.14",--,--,2_DC Rollover IRA *4915,--,Cash
Jul-7-2025,TRANSFERRED FROM VS EZY-080690 ACATS IN-HOUSE,DURPX,4.824,--,--,"+48,881.14",--,--,2_DC Rollover IRA *4915,--,Cash
Jul-7-2025,TRANSFERRED FROM VS EZY-080690 ACATS IN-HOUSE,,--,--,0.52,"+48,881.14",--,--,2_DC Rollover IRA *4915,--,Cash
Jul-3-2025,DIVIDEND RECEIVED,RCL,--,--,56.25,"+48,880.62",--,--,2_DC Rollover IRA *4915,--,Cash
Jul-3-2025,YOU BOUGHT,NOW,12,"1,053.42","-12,641.10","+48,824.37",--,--,2_DC Rollover IRA *4915,Jul-7-2025,Cash
Jul-3-2025,YOU SOLD,ORCL,-22,230.35,"5,067.70","+61,465.47",--,--,2_DC Rollover IRA *4915,Jul-7-2025,Cash
Jul-3-2025,YOU SOLD,MOS,-300,37.12,"11,137.50","+56,397.77",--,--,2_DC Rollover IRA *4915,Jul-7-2025,Cash
Jul-3-2025,YOU BOUGHT,CIBR,200,75.93,"-15,186.00","+45,260.27",--,--,2_DC Rollover IRA *4915,Jul-7-2025,Cash
Jul-2-2025,YOU BOUGHT,SHOP,100,115.84,"-11,583.68","+60,446.27",--,--,2_DC Rollover IRA *4915,Jul-3-2025,Cash
Jul-2-2025,YOU BOUGHT,AVGO,100,268.00,"-26,800.00","+72,029.95",--,--,2_DC Rollover IRA *4915,Jul-3-2025,Cash
Jul-2-2025,YOU SOLD,BSX,-200,103.41,"20,682.00","+98,829.95",--,--,2_DC Rollover IRA *4915,Jul-3-2025,Cash
Jul-1-2025,TRANSFERRED FROM VS EZY-080690 ACATS IN-HOUSE,DFIVX,915.393,--,--,"+78,147.95",--,--,2_DC Rollover IRA *4915,--,Cash
Jul-1-2025,TRANSFERRED FROM VS EZY-080690 ACATS IN-HOUSE,DFREX,405.577,--,--,"+78,147.95",--,--,2_DC Rollover IRA *4915,--,Cash
Jul-1-2025,TRANSFERRED FROM VS EZY-080690 ACATS IN-HOUSE,DFLVX,717.886,--,--,"+78,147.95",--,--,2_DC Rollover IRA *4915,--,Cash
Jul-1-2025,TRANSFERRED FROM VS EZY-080690 ACATS IN-HOUSE,DFISX,729.796,--,--,"+78,147.95",--,--,2_DC Rollover IRA *4915,--,Cash
Jul-1-2025,TRANSFERRED FROM VS EZY-080690 ACATS IN-HOUSE,DFFVX,804.487,--,--,"+78,147.95",--,--,2_DC Rollover IRA *4915,--,Cash
Jul-1-2025,TRANSFERRED FROM VS EZY-080690 ACATS IN-HOUSE,DFCEX,736.793,--,--,"+78,147.95",--,--,2_DC Rollover IRA *4915,--,Cash
Jul-1-2025,TRANSFERRED FROM VS EZY-080690 ACATS IN-HOUSE,DFTEX,"3,705.403",--,--,"+78,147.95",--,--,2_DC Rollover IRA *4915,--,Cash
Jul-1-2025,TRANSFERRED FROM VS EZY-080690 ACATS IN-HOUSE,DFAPX,"1,124.968",--,--,"+78,147.95",--,--,2_DC Rollover IRA *4915,--,Cash
Jul-1-2025,TRANSFERRED FROM VS EZY-080690 ACATS IN-HOUSE,DUSLX,967.157,--,--,"+78,147.95",--,--,2_DC Rollover IRA *4915,--,Cash
Jul-1-2025,TRANSFERRED FROM VS EZY-080690 ACATS IN-HOUSE,DSCGX,943.594,--,--,"+78,147.95",--,--,2_DC Rollover IRA *4915,--,Cash
Jul-1-2025,TRANSFERRED FROM VS EZY-080690 ACATS IN-HOUSE,DILRX,788.362,--,--,"+78,147.95",--,--,2_DC Rollover IRA *4915,--,Cash
Jul-1-2025,TRANSFERRED FROM VS EZY-080690 ACATS IN-HOUSE,DURPX,"1,496.299",--,--,"+78,147.95",--,--,2_DC Rollover IRA *4915,--,Cash
